Year,Month,town,Category,Value
2021,02,JURONG WEST,Minimum Price,340000
2021,02,JURONG WEST,Average Price,466249.97
2021,02,JURONG WEST,Standard Deviation of Price,83878.26
2021,02,JURONG WEST,Minimum Price per Square Meter,2984.00
